empresa,id_pedido,total_itens,quantidade_itens,numero_pedido,canal,situacao,total_produtos,valor_frete,valor_desconto,outras_despesas,total_pedido,diferenca_produtos_x_itens,diferenca_pedido_x_itens
BALAO DE OFERTAS,348857983,32.0,1.0,17,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,348859029,625.0,1.0,18,Amazon,Faturado,625.0,0.0,0.0,0.0,625.0,0.0,0.0
BALAO DE OFERTAS,348859032,625.0,1.0,19,Amazon,Faturado,625.0,0.0,0.0,0.0,625.0,0.0,0.0
BALAO DE OFERTAS,348865822,22.0,1.0,20,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,348876733,25.0,1.0,21,Amazon,Faturado,25.0,0.0,0.0,0.0,25.0,0.0,0.0
BALAO DE OFERTAS,348877125,29.14,1.0,22,Amazon,Faturado,29.14,0.0,0.0,0.0,29.14,0.0,0.0
BALAO DE OFERTAS,348878037,29.14,1.0,23,Amazon,Faturado,29.14,0.0,0.0,0.0,29.14,0.0,0.0
BALAO DE OFERTAS,348878499,19.0,1.0,24,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,348878671,19.0,1.0,25,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,348913438,78.0,1.0,26,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348913441,78.0,1.0,27,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348913445,78.0,1.0,28,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348913462,78.0,1.0,29,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348913850,78.0,1.0,30,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348913995,78.0,1.0,31,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348914242,78.0,1.0,32,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,348914246,32.0,1.0,33,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,348914823,22.0,1.0,34,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,348933925,19.0,1.0,37,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,348938362,92.0,4.0,38,Amazon,Faturado,92.0,0.0,0.0,0.0,92.0,0.0,0.0
BALAO DE OFERTAS,348944069,31.9,1.0,39,Amazon,Faturado,31.9,0.0,0.0,0.0,31.9,0.0,0.0
BALAO DE OFERTAS,348995876,32.0,1.0,40,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349002692,89.0,1.0,41,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,349009257,708.0,2.0,42,Base,Faturado,708.0,248.58,0.0,0.0,956.58,0.0,248.58
BALAO DE OFERTAS,349012340,445.0,1.0,43,Amazon,Faturado,445.0,0.0,0.0,0.0,445.0,0.0,0.0
BALAO DE OFERTAS,349012955,73.6,2.0,44,Amazon,Faturado,73.6,0.0,0.0,0.0,73.6,0.0,0.0
BALAO DE OFERTAS,349025193,32.0,1.0,45,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349027396,32.0,1.0,46,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349060327,616.28,1.0,47,Base,Faturado,616.28,92.04,0.0,0.0,708.32,0.0,92.04
BALAO DE OFERTAS,349074545,178.0,1.0,48,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349081388,32.0,1.0,49,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349091128,59.22,1.0,50,Amazon,Faturado,59.22,0.0,0.0,0.0,59.22,0.0,0.0
BALAO DE OFERTAS,349102937,145.0,1.0,51,Amazon,Faturado,145.0,0.0,0.0,0.0,145.0,0.0,0.0
BALAO DE OFERTAS,349102946,145.0,1.0,52,Amazon,Faturado,145.0,0.0,0.0,0.0,145.0,0.0,0.0
BALAO DE OFERTAS,349103236,22.0,1.0,53,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349184151,32.0,1.0,54,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349189228,165.0,1.0,55,Base,Faturado,165.0,37.69,0.0,0.0,202.69,0.0,37.69
BALAO DE OFERTAS,349195657,178.0,1.0,56,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349235898,19.0,1.0,57,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,349236406,175.0,1.0,58,Amazon,Faturado,175.0,0.0,0.0,0.0,175.0,0.0,0.0
BALAO DE OFERTAS,349266818,144.0,1.0,59,Amazon,Faturado,144.0,0.0,0.0,0.0,144.0,0.0,0.0
BALAO DE OFERTAS,349270186,32.0,1.0,60,Amazon,Faturado,32.0,8.9,0.0,0.0,40.9,0.0,8.9
BALAO DE OFERTAS,349275670,32.0,1.0,61,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349278772,36.0,1.0,62,Amazon,Faturado,36.0,0.0,0.0,0.0,36.0,0.0,0.0
BALAO DE OFERTAS,349283023,48.0,1.0,63,Amazon,Faturado,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BALAO DE OFERTAS,349285698,45.0,1.0,64,Amazon,Faturado,45.0,0.0,0.0,0.0,45.0,0.0,0.0
BALAO DE OFERTAS,349331316,19.74,1.0,65,Amazon,Faturado,19.74,0.0,0.0,0.0,19.74,0.0,0.0
BALAO DE OFERTAS,349340543,126.9,1.0,66,Amazon,Faturado,126.9,0.0,0.0,0.0,126.9,0.0,0.0
BALAO DE OFERTAS,349341500,23.0,1.0,67,Amazon,Faturado,23.0,0.0,0.0,0.0,23.0,0.0,0.0
BALAO DE OFERTAS,349341556,25.0,1.0,68,Amazon,Faturado,25.0,0.0,0.0,0.0,25.0,0.0,0.0
BALAO DE OFERTAS,349342409,59.22,1.0,69,Amazon,Faturado,59.22,0.0,0.0,0.0,59.22,0.0,0.0
BALAO DE OFERTAS,349343199,59.22,1.0,70,Amazon,Faturado,59.22,0.0,0.0,0.0,59.22,0.0,0.0
BALAO DE OFERTAS,349343522,59.22,1.0,71,Amazon,Faturado,59.22,0.0,0.0,0.0,59.22,0.0,0.0
BALAO DE OFERTAS,349359660,450.0,1.0,72,Amazon,Faturado,450.0,0.0,0.0,0.0,450.0,0.0,0.0
BALAO DE OFERTAS,349394974,44.0,2.0,73,Amazon,Faturado,44.0,0.0,0.0,0.0,44.0,0.0,0.0
BALAO DE OFERTAS,349402778,135.0,1.0,74,Amazon,Faturado,135.0,0.0,0.0,0.0,135.0,0.0,0.0
BALAO DE OFERTAS,349407013,19.0,1.0,75,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,349408626,36.0,1.0,76,Amazon,Faturado,36.0,0.0,0.0,0.0,36.0,0.0,0.0
BALAO DE OFERTAS,349462842,850.0,1.0,77,Amazon,Faturado,850.0,0.0,0.0,0.0,850.0,0.0,0.0
BALAO DE OFERTAS,349478285,31.9,1.0,78,Amazon,Faturado,31.9,0.0,0.0,0.0,31.9,0.0,0.0
BALAO DE OFERTAS,349478490,42.3,1.0,79,Amazon,Faturado,42.3,0.0,0.0,0.0,42.3,0.0,0.0
BALAO DE OFERTAS,349486469,32.0,1.0,80,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349501604,32.0,1.0,81,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349507232,32.0,1.0,82,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349514564,44.0,2.0,83,Amazon,Faturado,44.0,0.0,0.0,0.0,44.0,0.0,0.0
BALAO DE OFERTAS,349518013,18.97,1.0,84,Amazon,Faturado,18.97,0.0,0.0,0.0,18.97,0.0,0.0
BALAO DE OFERTAS,349524361,89.0,1.0,85,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,349553304,22.0,1.0,86,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349563256,19.0,1.0,87,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,349573949,32.0,1.0,88,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349603778,79.8,1.0,89,Base,Faturado,79.8,9.44,0.0,0.0,89.24,0.0,9.44
BALAO DE OFERTAS,349632762,59.0,1.0,90,Amazon,Faturado,59.0,0.0,0.0,0.0,59.0,0.0,0.0
BALAO DE OFERTAS,349633793,22.0,1.0,91,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349634191,37.94,2.0,92,Amazon,Faturado,37.94,0.0,0.0,0.0,37.94,0.0,0.0
BALAO DE OFERTAS,349635590,25.0,1.0,93,Amazon,Faturado,25.0,0.0,0.0,0.0,25.0,0.0,0.0
BALAO DE OFERTAS,349696175,149.0,1.0,94,Amazon,Faturado,149.0,0.0,0.0,0.0,149.0,0.0,0.0
BALAO DE OFERTAS,349702250,78.0,1.0,95,Amazon,Faturado,78.0,0.0,0.0,0.0,78.0,0.0,0.0
BALAO DE OFERTAS,349704216,54.0,1.0,96,Amazon,Faturado,54.0,0.0,0.0,0.0,54.0,0.0,0.0
BALAO DE OFERTAS,349710070,139.0,1.0,97,Amazon,Faturado,139.0,0.0,0.0,0.0,139.0,0.0,0.0
BALAO DE OFERTAS,349715720,22.0,1.0,98,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349716264,90.0,2.0,99,Amazon,Faturado,90.0,0.0,0.0,0.0,90.0,0.0,0.0
BALAO DE OFERTAS,349716338,90.0,2.0,100,Amazon,Faturado,90.0,0.0,0.0,0.0,90.0,0.0,0.0
BALAO DE OFERTAS,349736170,65.0,1.0,101,Amazon,Faturado,65.0,0.0,0.0,0.0,65.0,0.0,0.0
BALAO DE OFERTAS,349741541,24.0,1.0,102,Amazon,Faturado,24.0,0.0,0.0,0.0,24.0,0.0,0.0
BALAO DE OFERTAS,349754967,29.0,1.0,103,Amazon,Faturado,29.0,0.0,0.0,0.0,29.0,0.0,0.0
BALAO DE OFERTAS,349761174,26.0,1.0,104,Amazon,Faturado,26.0,0.0,0.0,0.0,26.0,0.0,0.0
BALAO DE OFERTAS,349763800,165.0,1.0,105,Base,Faturado,165.0,52.89,0.0,0.0,217.89,0.0,52.89
BALAO DE OFERTAS,349764394,178.0,1.0,106,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349781097,29.0,1.0,107,Amazon,Faturado,29.0,0.0,0.0,0.0,29.0,0.0,0.0
BALAO DE OFERTAS,349791799,178.0,1.0,108,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349792184,18.97,1.0,109,Amazon,Faturado,18.97,0.0,0.0,0.0,18.97,0.0,0.0
BALAO DE OFERTAS,349795481,139.0,1.0,110,Amazon,Faturado,139.0,0.0,0.0,0.0,139.0,0.0,0.0
BALAO DE OFERTAS,349795519,139.0,1.0,111,Amazon,Faturado,139.0,0.0,0.0,0.0,139.0,0.0,0.0
BALAO DE OFERTAS,349795527,139.0,1.0,112,Amazon,Faturado,139.0,0.0,0.0,0.0,139.0,0.0,0.0
BALAO DE OFERTAS,349797351,89.0,1.0,113,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,349798931,22.0,1.0,114,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349802349,18.97,1.0,115,Amazon,Faturado,18.97,0.0,0.0,0.0,18.97,0.0,0.0
BALAO DE OFERTAS,349811683,19.0,1.0,116,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,349842137,110.0,5.0,117,Amazon,Faturado,110.0,0.0,0.0,0.0,110.0,0.0,0.0
BALAO DE OFERTAS,349865328,119.0,1.0,118,Amazon,Faturado,119.0,0.0,0.0,0.0,119.0,0.0,0.0
BALAO DE OFERTAS,349867577,356.0,2.0,119,Amazon,Faturado,356.0,0.0,0.0,0.0,356.0,0.0,0.0
BALAO DE OFERTAS,349867583,178.0,1.0,120,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349869729,89.0,1.0,121,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,349873367,22.0,1.0,122,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349874038,33.0,1.0,123,Amazon,Faturado,33.0,0.0,0.0,0.0,33.0,0.0,0.0
BALAO DE OFERTAS,349881064,178.0,1.0,124,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349885235,89.0,1.0,125,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,349887041,63.0,1.0,126,Amazon,Faturado,63.0,0.0,0.0,0.0,63.0,0.0,0.0
BALAO DE OFERTAS,349892317,166.86,1.0,127,Amazon,Faturado,166.86,0.0,0.0,0.0,166.86,0.0,0.0
BALAO DE OFERTAS,349898360,178.0,1.0,128,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,349906232,22.0,1.0,129,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349928732,22.0,1.0,130,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349943107,32.0,1.0,131,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349943405,32.0,1.0,132,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,349949843,29.0,1.0,133,Amazon,Faturado,29.0,0.0,0.0,0.0,29.0,0.0,0.0
BALAO DE OFERTAS,349951492,54.0,1.0,134,Amazon,Faturado,54.0,8.9,0.0,0.0,62.9,0.0,8.9
BALAO DE OFERTAS,349953808,28.0,1.0,135,Amazon,Faturado,28.0,0.0,0.0,0.0,28.0,0.0,0.0
BALAO DE OFERTAS,349961253,56.0,2.0,136,Amazon,Faturado,56.0,0.0,0.0,0.0,56.0,0.0,0.0
BALAO DE OFERTAS,349972543,22.0,1.0,137,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,349979228,129.0,1.0,138,Amazon,Faturado,129.0,0.0,0.0,0.0,129.0,0.0,0.0
BALAO DE OFERTAS,349980848,129.0,1.0,139,Amazon,Faturado,129.0,0.0,0.0,0.0,129.0,0.0,0.0
BALAO DE OFERTAS,349989025,16.0,1.0,140,Amazon,Faturado,16.0,0.0,0.0,0.0,16.0,0.0,0.0
BALAO DE OFERTAS,349993942,37.97,1.0,141,Base,Faturado,37.97,13.58,0.0,0.0,51.55,0.0,13.58
BALAO DE OFERTAS,349998875,178.0,1.0,142,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,350000455,65.61,3.0,143,Amazon,Faturado,65.62,0.0,0.0,0.0,65.61,0.01,0.0
BALAO DE OFERTAS,350006325,125.0,1.0,144,Amazon,Faturado,125.0,0.0,0.0,0.0,125.0,0.0,0.0
BALAO DE OFERTAS,350020945,32.0,1.0,145,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350051715,32.0,1.0,146,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350059224,966.0,3.0,147,Base,Faturado,966.0,150.66,0.0,0.0,1116.66,0.0,150.66
BALAO DE OFERTAS,350071751,48.0,1.0,148,Amazon,Faturado,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BALAO DE OFERTAS,350072000,22.0,1.0,149,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350072605,48.0,1.0,150,Amazon,Faturado,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BALAO DE OFERTAS,350084519,18.97,1.0,151,Amazon,Faturado,18.97,0.0,0.0,0.0,18.97,0.0,0.0
BALAO DE OFERTAS,350090550,84.0,3.0,152,Amazon,Faturado,84.0,0.0,0.0,0.0,84.0,0.0,0.0
BALAO DE OFERTAS,350101229,24.0,1.0,153,Amazon,Faturado,24.0,0.0,0.0,0.0,24.0,0.0,0.0
BALAO DE OFERTAS,350115775,37.94,2.0,154,Amazon,Faturado,37.94,0.0,0.0,0.0,37.94,0.0,0.0
BALAO DE OFERTAS,350120278,26.0,1.0,155,Amazon,Faturado,26.0,0.0,0.0,0.0,26.0,0.0,0.0
BALAO DE OFERTAS,350136948,37.0,1.0,156,Amazon,Faturado,37.0,0.0,0.0,0.0,37.0,0.0,0.0
BALAO DE OFERTAS,350140678,45.0,1.0,157,Amazon,Faturado,45.0,0.0,0.0,0.0,45.0,0.0,0.0
BALAO DE OFERTAS,350142754,22.0,1.0,158,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350159036,178.0,1.0,159,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,350172932,28.0,1.0,160,Amazon,Faturado,28.0,0.0,0.0,0.0,28.0,0.0,0.0
BALAO DE OFERTAS,350190961,32.0,1.0,161,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350215500,39.0,1.0,162,Amazon,Faturado,39.0,0.0,0.0,0.0,39.0,0.0,0.0
BALAO DE OFERTAS,350240365,32.0,1.0,163,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350241495,256.41,1.0,164,Base,Faturado,256.41,116.71,0.0,0.0,373.12,0.0,116.71
BALAO DE OFERTAS,350248008,34.0,1.0,165,Amazon,Faturado,34.0,0.0,0.0,0.0,34.0,0.0,0.0
BALAO DE OFERTAS,350269873,22.0,1.0,166,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350292752,149.0,1.0,167,Amazon,Faturado,149.0,0.0,0.0,0.0,149.0,0.0,0.0
BALAO DE OFERTAS,350299875,32.0,1.0,168,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350304068,32.0,1.0,169,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350309862,244.0,8.0,170,Amazon,Faturado,244.0,0.0,0.0,0.0,244.0,0.0,0.0
BALAO DE OFERTAS,350320012,32.0,1.0,171,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350323812,34.0,1.0,172,Amazon,Faturado,34.0,0.0,0.0,0.0,34.0,0.0,0.0
BALAO DE OFERTAS,350342614,95.7,3.0,173,Amazon,Faturado,95.7,0.0,0.0,0.0,95.7,0.0,0.0
BALAO DE OFERTAS,350350848,45.0,1.0,174,Amazon,Faturado,45.0,0.0,0.0,0.0,45.0,0.0,0.0
BALAO DE OFERTAS,350351886,22.0,1.0,175,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350369663,39.0,1.0,176,Amazon,Faturado,39.0,0.0,0.0,0.0,39.0,0.0,0.0
BALAO DE OFERTAS,350371416,31.0,1.0,177,Amazon,Faturado,31.0,0.0,0.0,0.0,31.0,0.0,0.0
BALAO DE OFERTAS,350374664,35.09,1.0,178,Amazon,Faturado,35.09,0.0,0.0,0.0,35.09,0.0,0.0
BALAO DE OFERTAS,350374680,45.0,1.0,179,Amazon,Faturado,45.0,0.0,0.0,0.0,45.0,0.0,0.0
BALAO DE OFERTAS,350379298,178.0,1.0,180,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,350381803,28.0,1.0,181,Amazon,Faturado,28.0,0.0,0.0,0.0,28.0,0.0,0.0
BALAO DE OFERTAS,350389754,31.0,1.0,182,Amazon,Faturado,31.0,0.0,0.0,0.0,31.0,0.0,0.0
BALAO DE OFERTAS,350396181,89.0,1.0,183,Amazon,Faturado,89.0,0.0,0.0,0.0,89.0,0.0,0.0
BALAO DE OFERTAS,350397730,29.0,1.0,184,Amazon,Faturado,29.0,0.0,0.0,0.0,29.0,0.0,0.0
BALAO DE OFERTAS,350399574,119.0,1.0,185,Amazon,Faturado,119.0,0.0,0.0,0.0,119.0,0.0,0.0
BALAO DE OFERTAS,350405368,32.0,1.0,186,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350411201,58.0,2.0,187,Amazon,Faturado,58.0,0.0,0.0,0.0,58.0,0.0,0.0
BALAO DE OFERTAS,350429782,27.0,1.0,188,Amazon,Faturado,27.0,0.0,0.0,0.0,27.0,0.0,0.0
BALAO DE OFERTAS,350431802,178.0,2.0,189,Amazon,Faturado,178.0,0.0,0.0,0.0,178.0,0.0,0.0
BALAO DE OFERTAS,350433018,135.0,1.0,190,Amazon,Faturado,135.0,0.0,0.0,0.0,135.0,0.0,0.0
BALAO DE OFERTAS,350433026,147.0,1.0,191,Amazon,Faturado,147.0,0.0,0.0,0.0,147.0,0.0,0.0
BALAO DE OFERTAS,350433372,135.0,1.0,192,Amazon,Faturado,135.0,0.0,0.0,0.0,135.0,0.0,0.0
BALAO DE OFERTAS,350444853,35.09,1.0,193,Amazon,Faturado,35.09,0.0,0.0,0.0,35.09,0.0,0.0
BALAO DE OFERTAS,350444858,22.0,1.0,194,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350449213,35.0,1.0,195,Amazon,Faturado,35.0,0.0,0.0,0.0,35.0,0.0,0.0
BALAO DE OFERTAS,350452396,32.0,1.0,196,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350456052,799.0,1.0,197,Amazon,Faturado,799.0,0.0,0.0,0.0,799.0,0.0,0.0
BALAO DE OFERTAS,350465372,39.0,1.0,198,Amazon,Faturado,39.0,0.0,0.0,0.0,39.0,0.0,0.0
BALAO DE OFERTAS,350493360,22.0,1.0,199,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350557670,180.0,1.0,200,Amazon,Preparando envio,180.0,0.0,0.0,0.0,180.0,0.0,0.0
BALAO DE OFERTAS,350557802,120.0,1.0,201,Amazon,Preparando envio,120.0,0.0,0.0,0.0,120.0,0.0,0.0
BALAO DE OFERTAS,350567741,23.0,1.0,202,Amazon,Preparando envio,23.0,0.0,0.0,0.0,23.0,0.0,0.0
BALAO DE OFERTAS,350577787,22.0,1.0,203,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,350578872,44.0,2.0,204,Amazon,Preparando envio,44.0,0.0,0.0,0.0,44.0,0.0,0.0
BALAO DE OFERTAS,350581478,32.0,1.0,205,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,350591127,62.0,2.0,206,Amazon,Preparando envio,62.0,0.0,0.0,0.0,62.0,0.0,0.0
BALAO DE OFERTAS,350605452,18.97,1.0,207,Amazon,Faturado,18.97,0.0,0.0,0.0,18.97,0.0,0.0
BALAO DE OFERTAS,350606419,69.0,1.0,208,Amazon,Faturado,69.0,0.0,0.0,0.0,69.0,0.0,0.0
BALAO DE OFERTAS,350606477,43.8,2.0,209,Amazon,Preparando envio,43.8,0.0,0.0,0.0,43.8,0.0,0.0
BALAO DE OFERTAS,350609506,99.0,1.0,210,Amazon,Preparando envio,99.0,0.0,0.0,0.0,99.0,0.0,0.0
BALAO DE OFERTAS,350613950,27.0,1.0,211,Amazon,Faturado,27.0,0.0,0.0,0.0,27.0,0.0,0.0
