empresa,codigo_produto,descricao_produto,quantidade,faturamento,pedidos,percentual,percentual_acumulado,classe_abc,assessor
BALAO DE OFERTAS,BL-CGJP-I65T,Saco De Lixo Preto 20l Resistência Média 4 Micra 100 Unid,4.0,100.0,4,0.0043226214451301,0.8955213751469155,B,JOYCE
BALAO DE OFERTAS,Q4-9KFN-FQGG,"Etiquetas online - Etiquetas de envio de 10 x 15 cm para impressoras térmicas diretas - 1.000 etiquetas, 4 rolos",1.0,99.0,1,0.0042793952306788,0.8998007703775944,B,JOYCE
BALAO DE OFERTAS,A7-PKWG-QXC8,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Cinza),3.0,96.0,3,0.0041497165873249,0.9039504869649194,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM222060013,ita Rotulador Brother Pt-65 Pt-70 Pt-80 Pt-85 Pt-90 PT70Bm Dourada mk 831 Etiquetador Compatível M-231 MK-231 MK231 12mm,4.0,92.0,1,0.0039768117295197,0.9079272986944392,B,JOYCE
BALAO DE OFERTAS,9P-DLO0-K6MZ,"100 Sacos P/Lixo De 100l Preto Super Pesado 75x95x0,12",1.0,89.0,1,0.0038471330861658,0.9117744317806048,B,JOYCE
BALAO DE OFERTAS,HIG-VIRT-JSN-P30AZ-001,"Lixeira Quadrada Plástica com Pedal (Azul, 30 litros)",1.0,89.0,1,0.0038471330861658,0.9156215648667708,B,JOYCE
BALAO DE OFERTAS,HIG-VIRT-JSN-P30BR-001,"Lixeira Quadrada Plástica com Pedal (Branco, 30 litros)",1.0,89.0,1,0.0038471330861658,0.9194686979529364,B,JOYCE
BALAO DE OFERTAS,66-YVRZ-8HAV,"Conduíte Eletroduto Corrugado Reforçado 3/4"" Não Amassa 50 Metros Preto",1.0,87.0,1,0.0037606806572632,0.9232293786101996,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010071,"Papel Fotografico Inkjet A4 Glossy Dupla Face 120G. - Pacote Com 50, Masterprint, 302010071, Branco",3.0,87.0,3,0.0037606806572632,0.9269900592674628,B,JOYCE
BALAO DE OFERTAS,SP-93YG-FNUR,Saco de lixo Infectante 100 Litros pct c/100 - Talge,1.0,80.0,1,0.0034580971561041,0.930448156423567,B,JOYCE
BALAO DE OFERTAS,DY14853,Cabo Extensor Rede De Dormir - Preto Mesclado Tam. 60 Cm,1.0,79.8,1,0.0034494519132138,0.9338976083367808,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-MNS-ELK-840,"Kit Letras Alfabeto, Elka, Sortido",2.0,78.0,2,0.0033716447272015,0.9372692530639825,B,JOYCE
BALAO DE OFERTAS,VT-FLB8-NET3,Saco de Lixo 100 Litros Preto Resistente Uso Doméstico 100Un,1.0,78.0,1,0.0033716447272015,0.940640897791184,B,JOYCE
BALAO DE OFERTAS,MLB1594603481,Sacos Para Lixo Transparente 20 Litros Normal (100 Un),2.0,72.0,1,0.0031122874404937,0.9437531852316776,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302050001,"Papel Fotografico Inkjet A3 180g - Pacote com 20, Masterprint, 302050001, Branca",2.0,70.18,2,0.0030336157301923,0.94678680096187,B,JOYCE
BALAO DE OFERTAS,YM-9ZIX-DHYJ,Saco De Lixo Plástico Branco 15 Litros 100 infectante Clinica,1.0,65.0,1,0.0028097039393346,0.9495965049012046,B,JOYCE
BALAO DE OFERTAS,UY-FTC8-X54B,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Azul),2.0,64.0,2,0.0027664777248833,0.952362982626088,C,JOYCE
BALAO DE OFERTAS,CI-6QIH-931N,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Branco, 60 litros)",1.0,63.0,1,0.0027232515104319,0.9550862341365198,C,JOYCE
BALAO DE OFERTAS,BF-PDSA-GRNY,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Transparente, 20 litros",2.0,60.14,2,0.0025996245371012,0.9576858586736212,C,JOYCE
BALAO DE OFERTAS,AH-U983-NA99,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Preto, 60 litros)",1.0,59.22,1,0.002559856419806,0.9602457150934272,C,JOYCE
BALAO DE OFERTAS,QK-AY35-BAYC,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Transparente, 60 litros",1.0,59.22,1,0.002559856419806,0.9628055715132332,C,JOYCE
BALAO DE OFERTAS,XU-CKCL-ZO8U,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Laranja, 60 litros)",1.0,59.22,1,0.002559856419806,0.9653654279330393,C,JOYCE
BALAO DE OFERTAS,XK-PPST-5ELA,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Branco, 20 litros)",2.0,58.28,2,0.0025192237782218,0.9678846517112611,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010055,Papel Fotográfico Glossy 115g Masterprint A4 - Pacote c/ 50 Folhas,2.0,52.0,2,0.0022477631514676,0.9701324148627288,C,JOYCE
BALAO DE OFERTAS,MLB1603234784,Sacolas Plasticas Reciclada Reforçada 45 X 60 3 Kg,1.0,46.0,1,0.0019884058647598,0.9721208207274888,C,JOYCE
BALAO DE OFERTAS,60004686082,Sacos De Lixo 40 Litros Transparente 100 Unidades Fabricante Cor:Cinza-claro,1.0,45.0,1,0.0019451796503085,0.9740660003777972,C,JOYCE
BALAO DE OFERTAS,CH-W1PF-4O6X,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Transparente, 40 litros",1.0,45.0,1,0.0019451796503085,0.976011180028106,C,JOYCE
BALAO DE OFERTAS,OL-0GXC-PMOT,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Azul, 40 litros)",1.0,45.0,1,0.0019451796503085,0.9779563596784144,C,JOYCE
BALAO DE OFERTAS,Y7-Y7US-PND3,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Verde, 40 litros)",1.0,45.0,1,0.0019451796503085,0.9799015393287231,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML514165,Embalixo Saco Para Lixo Neutralizador De Odores 30 Litros,2.0,43.8,1,0.001893308192967,0.98179484752169,C,JOYCE
BALAO DE OFERTAS,C7-NN8J-HCYP,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Laranja, 40 litros)",1.0,42.3,1,0.00182846887129,0.9836233163929802,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-MNS-ELK-1285,Jogo da Memória Bluey,1.0,39.0,1,0.0016858223636007,0.9853091387565808,C,JOYCE
BALAO DE OFERTAS,MLB1603227673,Saco Para Lixo Branco 40 Litros 100 Unidades,1.0,37.97,1,0.0016412993627159,0.9869504381192968,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML514721,Embalixo Saco Lixo Mega Econômico 100 Litros,1.0,37.0,1,0.0015993699346981,0.988549808053995,C,JOYCE
BALAO DE OFERTAS,4D-MUPH-RZ7Q,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Branco, 40 litros)",1.0,35.0,1,0.0015129175057955,0.9900627255597904,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302050007,Papel Fotografico Inkjet A3 Glossy Adesivo 130G Pacote Com 20 - 62881,1.0,34.0,1,0.0014696912913442,0.9915324168511348,C,JOYCE
BALAO DE OFERTAS,7G-ZTFD-WVKH,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Verde),1.0,32.0,1,0.0013832388624416,0.9929156557135764,C,JOYCE
BALAO DE OFERTAS,DK-TXA1-KJA3,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Marrom),1.0,32.0,1,0.0013832388624416,0.994298894576018,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM222060012,ita Rotulador Brother Pt-65 Pt-70 Pt-80 Pt-85 Pt-90 PT70Bm Verde mk 731 Etiquetador Compatível M-231 MK-231 MK231 12mm,1.0,23.0,1,0.0009942029323799,0.995293097508398,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010060,Papel Fotografico Inkjet Glossy Adesivo 130G Premium Pacote Com 20-48503,1.0,23.0,1,0.0009942029323799,0.9962873004407778,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML510143,Saco de Lixo Econômico Azul Embalixo 15L 100 Uni,1.0,19.0,1,0.0008212980745747,0.9971085985153526,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010073,Papel Fotografico Inkjet Glossy Adesivo 80G. Pacote Com 20 - 67541,1.0,19.0,1,0.0008212980745747,0.9979298965899274,C,JOYCE
BALAO DE OFERTAS,hig-REAL-GM302010037,Papel Fotografico Inkjet Glossy Dupla Face 220G Pacote Com 20 - 62876,1.0,19.0,1,0.0008212980745747,0.998751194664502,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM325010001,Bloco Adesivo para Anotações Amarelo 37.5x50mm c/ 4 Blocos de 100 Folhas cada MP2000 Masterprint,1.0,16.0,1,0.0006916194312208,0.999442814095723,C,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML516213,Embalixo Saco Lixo Baby,1.0,12.89,1,0.0005571859042772,1.0000000000000002,C,JOYCE
BELLA COMERCIAL,BLGBEL2227,Kit 2 Contentor Plástico Lixeira Gari 240l Com Pedal Em Aço,1.0,1274.7,1,0.1261007975403073,0.1261007975403073,A,JOYCE
BELLA COMERCIAL,TNY-hamx53311,Violão Giannini Start NF14 CEQ Eletroacústico Nylon Natural [F002],1.0,834.79,1,0.0825823211568786,0.2086831186971859,A,JOYCE
BELLA COMERCIAL,62510295264,Carrinho Para Enrolar Mangueira Em Aço Galvanizado,1.0,810.43,1,0.0801724871346915,0.2888556058318774,A,JOYCE
BELLA COMERCIAL,MLB2657293061,Lixeira Cinzeiro Em Aço Inox Aro Em Aluminio 30 Litros,2.0,619.8,1,0.0613142498748587,0.3501698557067362,A,JOYCE
BELLA COMERCIAL,8071,Lixeira Coletora para Copos Plásticos de Água Simples PapaCopo - Nobre,10.0,577.1,1,0.0570901155256227,0.407259971232359,A,JOYCE
BELLA COMERCIAL,BLGBEL3974,Kit 10 Porta Guardanapo De Papel Para Lanchonete E Bar - Tv,2.0,447.58,1,0.0442772377524835,0.4515372089848425,A,JOYCE
BELLA COMERCIAL,MLB2181193843,Lixeira Office Redonda Com Tampa Em Aço Inox 10l - Or3,3.0,441.6,1,0.0436856610918645,0.4952228700767071,A,JOYCE
BELLA COMERCIAL,TNY-hamx82155,Cooktop de Indução Agratto Portátil 1 Boca 2000w Preto 220v [F002],1.0,428.79,1,0.0424184207870937,0.5376412908638009,A,JOYCE
BELLA COMERCIAL,DY14250,"Frigideira Tramontina Profissional em Alumínio Antiaderente Starflon Premium e Acabamento Externo Lixado 30 cm 2,3 L",1.0,348.69,1,0.0344944591624145,0.5721357500262154,A,JOYCE
BELLA COMERCIAL,6723,Chaleira em Inox com Apito e Fundo Duplo à Indução Dourada,2.0,318.18,2,0.0314762310829018,0.6036119811091173,A,JOYCE
BELLA COMERCIAL,TNY-hamx75474,Repetidor Wi-fi Xiaomi Range Extender Pro 300Mbps Preto [F002],1.0,289.79,1,0.0286677258329063,0.6322797069420236,A,JOYCE
BELLA COMERCIAL,TNY-hamx84980,Headset Fortrek Wise Air Wireless Preto [F002],1.0,277.79,1,0.0274806154771491,0.6597603224191727,A,JOYCE
BELLA COMERCIAL,SHPS71133001-,Limitador Porta Traseira Bau Dir Ou Esq Fiorino 85 A 13 [F103],2.0,200.78,2,0.0198623347690773,0.6796226571882501,A,JOYCE
BELLA COMERCIAL,TNY-hamx85211,Adaptador Benjamim Múltiplo Powercube PWC-X5/3M Bivolt ELG [F002],1.0,183.09,1,0.0181123362529653,0.6977349934412154,A,JOYCE
BELLA COMERCIAL,TBK001460,Kit 4 Toalhas Banho Grossas Banhão 70 X 140 Montreal Super Luxo Alta Absorção,1.0,175.99,1,0.0174099626258089,0.7151449560670243,A,JOYCE
BELLA COMERCIAL,TNY-hamx79094,Chaleira Elétrica Agratto Aroma Preto 127v [F002],1.0,170.39,1,0.0168559777931222,0.7320009338601466,A,JOYCE
BELLA COMERCIAL,TBK001458,Kit 4 Toalhas Banho Grossas Banhão 70 X 140 Montreal Super Luxo Alta Absorção,1.0,165.99,1,0.0164207039960113,0.7484216378561579,A,JOYCE
BELLA COMERCIAL,TBK003230,Jogo de Toalha 4 peças Coleção Montreal 100% Algodão Cinza,1.0,157.49,1,0.0155798341606833,0.7640014720168412,A,JOYCE
BELLA COMERCIAL,8207,Garrafa Térmica Inox Escovado 800ml Preta Cafés e Chás - Mood,1.0,153.49,1,0.0151841307087642,0.7791856027256054,A,JOYCE
BELLA COMERCIAL,7945,"Rodo Mágico de Espuma 38cm com Espremedor Duplo e Cabo Telescópico de 1,40m",1.0,150.89,1,0.0149269234650168,0.7941125261906223,A,JOYCE
BELLA COMERCIAL,MSL001092,Amaciante de Roupa Comfort Pro Lavanderia Puro Cuidado Concentrado Galão 5L,1.0,146.99,1,0.0145411125993957,0.8086536387900181,B,JOYCE
BELLA COMERCIAL,TNY-hamx65075,Encordoamento Violão Aço .012-.053 80/20 Bronze EJ11 D Addario [F002],1.0,136.19,1,0.0134727132792142,0.8221263520692323,B,JOYCE
BELLA COMERCIAL,TNY-BLGBEL796,Cesto De Lixo Tipo Balde 60 Litros Jaguar,1.0,131.99,1,0.0130572246546992,0.8351835767239316,B,JOYCE
BELLA COMERCIAL,BLGBEL070,10 Taças De Champanhe Acrílico 180ml Transparente - Pit-180,2.0,129.18,1,0.0127792429797261,0.8479628197036577,B,JOYCE
BELLA COMERCIAL,6382,Garrafa com Alça E Bico 650ml em Aço Inox Preta,1.0,113.99,1,0.0112765591210634,0.8592393788247212,B,JOYCE
BELLA COMERCIAL,TBK001511,Jogo De Toalha 4 Peças Verona Luxo Beka 100% Algodão Azul,1.0,110.69,1,0.0109501037732302,0.8701894825979515,B,JOYCE
BELLA COMERCIAL,7663,"Garrafa com Alça e Bico 1,2L Parede Dupla Preta",1.0,98.99,1,0.009792671176367,0.8799821537743184,B,JOYCE
BELLA COMERCIAL,MLB1603188118,Saco De Lixo Reforçado 100 Litros Com 50 Unidades,2.0,79.38,1,0.0078527350033338,0.8878348887776523,B,JOYCE
BELLA COMERCIAL,BLGBEL4004,Kit 12 Peças Utensílios Silicone Cabo Madeira Fouet Pegador,1.0,78.89,1,0.0078042613304737,0.895639150108126,B,JOYCE
BELLA COMERCIAL,TNY-MLB2179926828,Cesto Lixeira Plastico Tipo Balde 40l Marca Jsn,1.0,78.39,1,0.0077547983989838,0.90339394850711,B,JOYCE
BELLA COMERCIAL,SHPS70501001-,Maçaneta Interna Gatilho Puxador Esquerdo Uno 2010 2011 2012 [F103],1.0,75.79,1,0.0074975911552364,0.9108915396623464,B,JOYCE
BELLA COMERCIAL,8076,"Rodo Mágico de Espuma 27cm Espremedor Duplo e Cabo Metálico Telescópico de 1,27m",1.0,74.19,1,0.0073393097744688,0.9182308494368152,B,JOYCE
BELLA COMERCIAL,BLGBEL6970,Sacos De Lixo Tóxico Laranja - 50 Litros - Pct C/ 100 Unid,1.0,72.49,1,0.0071711358074032,0.9254019852442184,B,JOYCE
BELLA COMERCIAL,8170,Organizador de Latas Transparente G Despensa Geladeira Refrigerantes Cervejas,1.0,63.19,1,0.0062511252816913,0.9316531105259096,B,JOYCE
BELLA COMERCIAL,HIG-VIRT-GM222060007,3 Fita Compatível Pt-80 Rotulador Brother 1 Branca 2 Transp,1.0,62.0,1,0.0061334035047454,0.9377865140306552,B,JOYCE
